Prob     n           In. obj.       In. const.      Optval-SL       Const-SL      Optimal val.   Final const.   #f1.eval.   #f1.grad   #con.eval.   #g1.grad    #g2.grad     CPU

   1     2              1.0000        2.00000       0.000000        0.00000       0.000000        0.00000         254         229         289         229          32      0.0156
   2     2            -10.0000       52.75000     -12.000000       16.75000      -1.500000        0.00000        1876        1631        2139        1631          44      0.0625
   3     2             -2.0000        1.00000      -0.000000        0.00000      -1.133975        0.00000         992         762        1234         762          60      0.0000
   4     2              0.0000        1.00000       0.414227        0.00000       0.414214        0.00000         272         187         360         187          22      0.0000
   5     2             -0.5000        0.50000      -0.999938        0.00012      -2.236068        0.00000         418         189         646         189          39      0.0000
   6     3              4.7812        0.00000       4.781250        0.00000       0.104473        0.00000         183          74         290          74          26      0.0000
   6     5              8.7812        0.00000       8.781250        0.00000       0.104473        0.00000         229          92         364          92          26      0.0000
   6    10             18.7812        0.00000      18.781250        0.00000       0.104474        0.00000         340         139         539         139          32      0.0000
   6    20             38.7812        0.00000      38.781250        0.00000       0.104474        0.00000         427         184         668         184          27      0.0156
   7     2              0.0000        1.50000     224.744871        0.00000       0.707107        0.00000         704         541         876         541          35      0.0000
   7     3              0.0000        2.50000     581.138830        0.00000       0.707107        0.00000        1118         890        1355         890          45      0.0000
   7     4              0.0000        3.50000     870.828689        0.00000       0.707107        0.00000        1465        1132        1807        1132          61      0.0938
   7     5              0.0000        4.50000    1121.320343        0.00000       0.707107        0.00000        1561        1184        1946        1184          63      0.0781
   7     6              0.0000        5.50000    1345.207878        0.00000       0.707107        0.00000        1675        1309        2049        1309          55      1.1562
   7     7              0.0000        6.50000    1549.509757        0.00000       0.707107        0.00000        1708        1327        2097        1327          60      0.0781
   7     8              0.0000        7.50000    1738.612788        0.00000       0.707107        0.00000        1590        1175        2013        1175          59      0.1094
   7     9              0.0000        8.50000    1915.475866        0.00000       0.707107        0.00000        1770        1391        2157        1391          63      0.1719
   7    10              0.0000        9.50000    2082.206982        0.00000       0.707107        0.00000        1719        1306        2140        1306          60      0.0625
   7    11              0.0000       10.50000    2240.370357        0.00000       0.707107        0.00000        1566        1100        2040        1100          63      0.0938
   7    12              0.0000       11.50000    2391.164993        0.00000       0.707107        0.00000        1730        1256        2212        1256          62      0.0625
   7    20              0.0000       19.50000    3415.880431        0.00000       0.707107        0.00000        1732        1253        2219        1253          62      0.1406
   8     2              0.7000        0.09000       0.350360        0.00000       0.120000        0.00000         786         503        1077         503          54      0.0312
   9     2              0.0000        1.00000       2.121322        0.00000       2.121320        0.00000         328         269         392         269          20      0.0156
   9     5              0.0000        1.00000       2.309402        0.00000       2.309401        0.00000         640         511         773         511          23      0.1719
   9    10              0.0000        1.00000       2.309406        0.00000       2.309401        0.00000        1478        1280        1681        1280          24      0.3281
   9    20              0.0000        1.00000       2.312504        0.00078       2.309402        0.00000        3095        2422        3773        2422          48      0.4062
   9    50              0.0000        1.00000       2.411195        0.00024       2.309402        0.00000        8308        6119       10502        6119          72      8.1094
   9   100              0.0000        1.00000       2.938288        0.00000       2.309403        0.00000       23459       16404       30520       16404          81    217.4688
  10     3              9.0000        4.00000       7.672385        0.00000       4.000000        0.00000         935         803        1081         803          67      0.0781
  11     2              2.5000        0.50000       3.131404        0.00000       0.250000        0.00000         839         607        1084         607          55      0.0000
  12     2              2.0000        3.25000       0.000000        0.00000       0.000000        0.00000          83          61         104          61          14      0.0156
  13     3             29.0000        3.00000       0.000031        0.00000       0.000000        0.00000         252         115         388         115          33      0.0781
  14     2              1.0000        0.00000       1.000000        0.00000       1.000000        0.00000          55          30          78          30           8      0.0000
  14     5              3.0000        0.00000       3.000000        0.00000       0.000000        0.00000         555         214         894         214          42      0.0469
  14    10              6.0000        0.00000       6.000000        0.00000       0.000000        0.00000        1646         689        2601         689          78      0.2812
  14    20             13.0000        0.00000      13.000000        0.00000       0.000000        0.00000        3379        1533        5223        1533         104      1.4844
  14    50             33.0000        0.00000      33.000000        0.00000       0.000000        0.00000       12085        5740       18428        5740         181     64.5469
  14   100             66.0000        0.00000      66.000000        0.00000       0.000000        0.00000       31507       15132       47880       15132         349    392.7031
