Prob     n   Optimal val.   Final const.   #f1.eval.   #f1.grad   #con.eval.   #g1.grad    #g2.grad    #con.aver    f.eval.tot   grad.tot     CPU

   1     2       0.000000       0.000000         254         229         289         229          32         130         271         179      0.0156
   2     2      -1.500000       0.000000        1876        1631        2139        1631          44         837        2086         995      0.0625
   3     2      -1.133975       0.000000         992         762        1234         762          60         411        1185         481      0.0000
   4     2       0.414214       0.000000         272         187         360         187          22         104         316         145      0.0000
   5     2      -2.236068       0.000000         418         189         646         189          39         114         589         132      0.0000
   6     3       0.104473       0.000000         183          74         290          74          26          50         236          62      0.0000
   6     5       0.104473       0.000000         229          92         364          92          26          59         296          75      0.0000
   6    10       0.104474       0.000000         340         139         539         139          32          85         439         112      0.0000
   6    20       0.104474       0.000000         427         184         668         184          27         105         547         144      0.0156
   7     2       0.707107       0.000000         704         541         876         541          35         288         790         414      0.0000
   7     3       0.707107       0.000000        1118         890        1355         890          45         467        1236         678      0.0000
   7     4       0.707107       0.000000        1465        1132        1807        1132          61         596        1636         864      0.0938
   7     5       0.707107       0.000000        1561        1184        1946        1184          63         623        1753         903      0.0781
   7     6       0.707107       0.000000        1675        1309        2049        1309          55         682        1862         995      1.1562
   7     7       0.707107       0.000000        1708        1327        2097        1327          60         693        1902        1010      0.0781
   7     8       0.707107       0.000000        1590        1175        2013        1175          59         617        1801         896      0.1094
   7     9       0.707107       0.000000        1770        1391        2157        1391          63         727        1963        1059      0.1719
   7    10       0.707107       0.000000        1719        1306        2140        1306          60         683        1929         994      0.0625
   7    11       0.707107       0.000000        1566        1100        2040        1100          63         581        1803         840      0.0938
   7    12       0.707107       0.000000        1730        1256        2212        1256          62         659        1971         957      0.0625
   7    20       0.707107       0.000000        1732        1253        2219        1253          62         657        1975         955      0.1406
   8     2       0.120000       0.000000         786         503        1077         503          54         278        1040         306      0.0312
   9     2       2.121320       0.000000         328         269         392         269          20         144         360         206      0.0156
   9     5       2.309401       0.000000         640         511         773         511          23         267         706         389      0.1719
   9    10       2.309401       0.000000        1478        1280        1681        1280          24         652        1579         966      0.3281
   9    20       2.309402       0.000000        3095        2422        3773        2422          48        1235        3434        1828      0.4062
   9    50       2.309402       0.000000        8308        6119       10502        6119          72        3095        9405        4607      8.1094
   9   100       2.309403       0.000000       23459       16404       30520       16404          81        8242       26989       12323    217.4688
  10     3       4.000000       0.000000         935         803        1081         803          67         435        1044         527      0.0781
  11     2       0.250000       0.000000         839         607        1084         607          55         331        1022         400      0.0000
  12     2       0.000000       0.000000          83          61         104          61          14          37          97          45      0.0156
  13     3       0.000000       0.000000         252         115         388         115          33          74         342          87      0.0781
  14     2       1.000000       0.000000          55          30          78          30           8          19          72          21      0.0000
  14     5       0.000000       0.000000         555         214         894         214          42         128         809         149      0.0469
  14    10       0.000000       0.000000        1646         689        2601         689          78         383        2362         459      0.2812
  14    20       0.000000       0.000000        3379        1533        5223        1533         104         818        4762         996      1.4844
  14    50       0.000000       0.000000       12085        5740       18428        5740         181        2960       16842        3655     64.5469
  14   100       0.000000       0.000000       31507       15132       47880       15132         349        7740       43786        9588    392.7031
