Prob     n           In. obj.       In. const.      Optval-SL       Const-SL      Optimal val.   Final const.   #f1.eval.  #f2.eval.   #f1.grad   #f2.grad   #con.eval.   #g1.grad    #g2.grad     CPU

   1     2            309.0000        0.00000       0.000000        0.00000       2.094440        0.00000         283         180         103          28         461         103          28      0.0000
   2     2            103.0000        0.00000       0.000000        0.00000       1.000003        0.00000         167          96          71          23         261          71          23      0.0000
   3     4           1224.4000        0.00000       0.000000        0.00000       1.655522        0.00000         650         396         254          49        1044         254          49      0.0312
   4     4            291.2000        0.00000       0.000000        0.00000       4.691463        0.00000         327         190         137          24         515         137          24      0.0000
   5     3             -2.0000        0.00000       0.000000        0.00000    -263.999987        0.00000         274         172         102          25         444         102          25      0.0000
   6     3             11.0000        0.00000       0.000000        0.00000       0.333333        0.00000         306         193         113          29         497         113          29      0.0156
   7     3            -43.0000        0.00000       0.000000        0.00000    -170.456664        0.00000         429         293         136          39         720         136          39      0.0000
   8     7            697.0000        0.00000       0.000000        0.00000     623.689058        0.00000         453         294         159          41         745         159          41      0.0312
   9     2             20.0000        0.00000       0.000000        0.00000       4.864489        0.00000         360         231         129          37         589         129          37      0.0000
   9     5             80.0000        0.00000       0.000000        0.00000      30.706048        0.00000         433         267         166          38         698         166          38      0.0156
   9    10            180.0000        0.00000       0.000000        0.00000      95.496279        0.00000         320         222          98          33         540          98          33      0.0000
   9    20            380.0000        0.00000       0.000000        0.00000     247.051732        0.00000         325         180         145          26         503         145          26      0.0156
   9    50            980.0000        0.00000       0.000000        0.00000     752.362474        0.00000         514         289         225          26         801         225          26      0.0000
   9   100           1980.0000        0.00000       0.000000        0.00000    1646.356687        0.00000         745         430         315          33        1173         315          33      0.0312
   9   200           3980.0000        0.00000       0.000000        0.00000    3496.841913        0.00000         732         384         348          18        1114         348          18      0.0156
  10     3              7.0000        0.00000       0.000000        0.00000      -9.000000        0.00000         268         186          82          27         452          82          27      0.0000
  11     2              0.0000        0.00000       0.000000        0.00000      -1.999996        0.00000         202         131          71          17         331          71          17      0.0000
  11     5              1.0000        0.00000       0.000000        0.00000      -9.999991        0.00000         527         364         163          49         889         163          49      0.0000
  11    10              2.0000        0.00000       0.000000        0.00000     -19.999999        0.00000         714         464         250          52        1176         250          52      0.0312
  11    20              6.0000        0.00000       0.000000        0.00000     -40.000000        0.00000        1037         636         401          53        1671         401          53      0.0156
  11    50             16.0000        0.00000       0.000000        0.00000     -99.999636        0.00000        3737        2127        1610         105        5862        1610         105      0.7344
  11   100             32.0000        0.00000       0.000000        0.00000    -199.999999        0.00000        7934        4290        3644         128       12222        3644         128      7.9531
  11   200             66.0000        0.00000       0.000000        0.00000    -399.999998        0.00000        9326        5045        4281         135       14369        4281         135     10.0781
  12     3            -10.0000        0.00000       0.000000        0.00000     -18.517115        0.00000         309         203         106          26         510         106          26      0.0000
  13     2            835.0000        0.00000       0.000000        0.00000      99.000000        0.00000         277         191          86          36         466          86          36      0.0000
  14    10             11.8470        0.00000       0.000000        0.00000      -3.513859        0.00000        1403         820         583         116        2221         583         116      0.0469
  15     2              3.0000        0.00000       0.000000        0.00000      -0.097893        0.00000         646         428         218          63        1072         218          63      0.0156
  15     5             12.0000        0.00000       0.000000        0.00000       2.344067        0.00000         751         472         279          63        1221         279          63      0.0000
  15    10             27.0000        0.00000       0.000000        0.00000      10.212110        0.00000         635         389         246          54        1022         246          54      0.0156
  15    20             57.0000        0.00000       0.000000        0.00000      30.507041        0.00000         813         475         338          49        1286         338          49      0.0000
  15    50            147.0000        0.00000       0.000000        0.00000     101.722259        0.00000         977         551         426          51        1526         426          51      0.0000
  15   100            297.0000        0.00000       0.000000        0.00000     230.803572        0.00000        1753         936         817          55        2687         817          55      0.0781
  15   200            597.0000        0.00000       0.000000        0.00000     501.365259        0.00000         971         551         420          45        1520         420          45      0.0625
  16     2             51.5000        0.00000       0.000000        0.00000       1.000001        0.00000         239         144          95          26         381          95          26      0.0000
  17     4             43.0000        0.00000       0.000000        0.00000       9.200000        0.00000         352         232         120          34         582         120          34      0.0000
  18     2             -0.9560        0.00000       0.000000        0.00000      -2.275000        0.00000         356         243         113          35         597         113          35      0.0000
  19     2             14.7781        0.00000       0.000000        0.00000       4.121963        0.00000         346         244         102          30         588         102          30      0.0469
  20     2             22.2000        0.00000       0.000000        0.00000       0.707112        0.00000         418         259         159          42         675         159          42      0.0000
  21     4            402.2000        0.00000       0.000000        0.00000       8.325001        0.00000         324         193         131          27         515         131          27      0.0000
